handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,MEDIA,,,,,,ebf235_7575cbc5386f474da9f38bb8e25fad1d~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,MEDIA,,,,,,ebf235_ff0ee48bf9b94b9b91bb600e4e379634~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,MEDIA,,,,,,ebf235_8a2d7772786e4f30ab1102b9c5bddc21~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,MEDIA,,,,,,ebf235_31710d43a48948df8cbf6ae1a24a02b9~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ba3af199-e38f-4fdd-b8fd-70a917f13098,MEDIA,,,,,,ebf235_d2ec226fa32245169540d2af8020d5d5~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,PRODUCT,"Yellow Fin Tuna/ kera - (𝗚𝗿𝗼𝘀𝘀: 𝟳𝟱𝟬𝗴, 𝗡𝗲𝘁: 𝟱𝟬𝟬𝗴)",true,"<h2><span style=""font-weight: 700"">Premium Yellow fin Tuna </span>(Kera / கெரா மீன்)</h2><h3><span style=""font-weight: 700"">Product Overview</span></h3><ul><li><p><span style=""font-weight: 700; color: rgb(31, 31, 31); background-color: rgba(0, 0, 0, 0)"">Net Weight</span><span style=""background-color: rgba(0, 0, 0, 0); color: rgb(31, 31, 31)"">: 500g</span></p></li><li><p><span style=""font-weight: 700; color: rgb(31, 31, 31); background-color: rgba(0, 0, 0, 0)"">Gross Weight</span><span style=""background-color: rgba(0, 0, 0, 0); color: rgb(31, 31, 31)"">&nbsp;: 750g </span></p></li><li><p><span style=""font-weight: 700; color: rgb(31, 31, 31); background-color: rgba(0, 0, 0, 0)"">Protein:</span><span style=""background-color: rgba(0, 0, 0, 0); color: rgb(31, 31, 31)"">&nbsp;22g – 25g</span></p></li><li><p><span style=""font-weight: 700; color: rgb(31, 31, 31); background-color: rgba(0, 0, 0, 0)"">Serving Size</span><span style=""background-color: rgba(0, 0, 0, 0); color: rgb(31, 31, 31)"">: Slices - (5-10 Pieces) | Cubes - (10-25 Pieces) | Cubes Boneless - (12-20 Pieces) | Fillet Boneless </span></p></li><li><p><span style=""font-weight: 700; color: rgb(31, 31, 31); background-color: rgba(0, 0, 0, 0)"">Preparation</span><span style=""background-color: rgba(0, 0, 0, 0); color: rgb(31, 31, 31)"">: Freshly caught, expertly filleted, or cut into clean steaks and cubes. Bloodlines are cleanly trimmed to ensure a premium, ready-to-cook experience.</span></p></li><li><p><span style=""font-weight: 700; color: rgb(31, 31, 31); background-color: rgba(0, 0, 0, 0)"">Flavor Profile</span><span style=""background-color: rgba(0, 0, 0, 0); color: rgb(31, 31, 31)"">: Deep, robust, and meaty with a firm, steak-like texture.</span></p></li></ul><p>Commonly known as the ""Steak of the Sea,"" our Yellowfin Tuna is sourced fresh from the deep coastal waters off Chennai. Renowned for its deep red color and firm, meaty texture, it is a versatile choice for those who prefer a hearty, high-protein seafood experience.</p><h3><span style=""font-weight: 700"">Nutritional Profile (Per 100g)</span></h3><p>Yellowfin Tuna is famous among fitness enthusiasts for being one of the leanest sources of high-quality protein available.</p><table><tr><td><p><span style=""font-weight: 700"">Nutrient</span></p></td><td><p><span style=""font-weight: 700"">Amount</span></p></td></tr><tr><td><p><span style=""font-weight: 700"">Calories</span></p></td><td><p>108 - 110 kcal</p></td></tr><tr><td><p><span style=""font-weight: 700"">Protein</span></p></td><td><p>23g - 25g</p></td></tr><tr><td><p><span style=""font-weight: 700"">Total Fat</span></p></td><td><p>&lt; 1g</p></td></tr><tr><td><p><span style=""font-weight: 700"">Omega-3 Fatty Acids</span></p></td><td><p>Excellent Source</p></td></tr><tr><td><p><span style=""font-weight: 700"">Potassium</span></p></td><td><p>441 mg</p></td></tr><tr><td><p><span style=""font-weight: 700"">Vitamin D</span></p></td><td><p>High</p></td></tr></table><h3><span style=""font-weight: 700"">Key Benefits</span></h3><ul><li><p><span style=""font-weight: 700"">Ultra-High Protein:</span>&nbsp;Contains significantly more protein per gram than most poultry or red meats, making it perfect for muscle growth and weight management.</p></li><li><p><span style=""font-weight: 700"">Heart Health:</span>&nbsp;Rich in Omega-3 fatty acids which help lower blood pressure and reduce the risk of heart disease.</p></li><li><p><span style=""font-weight: 700"">Mood &amp; Brain Support:</span>&nbsp;High levels of Vitamin B12 and Selenium help improve cognitive function and reduce stress.</p></li><li><p><span style=""font-weight: 700"">Very Lean:</span>&nbsp;Extremely low in fat and carbohydrates, ideal for keto and paleo diets.</p></li></ul><blockquote><p><span style=""font-weight: 700"">Chef's Tip:</span>&nbsp;To keep Tuna juicy, avoid overcooking. It tastes best when seared on high heat for a short duration—this leaves the center moist while the outside gets a delicious crust!</p></blockquote>",high-protien;fishes,fishes,,,,,,,,,,,,,,,,,,,Cutting style:,TEXT_CHOICES,Slices;Cubes;Cubes Boneless;Fillet Boneless,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,VARIANT,,true,,,,,,,,275,399,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Slices,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,VARIANT,,true,,,,,,,,275,399,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Cubes,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,VARIANT,,true,,,,,,,,325,399,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Cubes Boneless,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,VARIANT,,false,,,,,,,,325,399,,IN_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Fillet Boneless,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,MEDIA,,,,,,ebf235_3f2ef346b7644e2dad98f3d5b6dbfff1~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,MEDIA,,,,,,ebf235_00f65f31a6984e9783f2e43ccf517f4f~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f217e64c-9266-429e-987c-09e08d8e84ed,MEDIA,,,,,,ebf235_5377be9ba9984fe5b6f0aac9ce0f1363~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,PRODUCT,"Sankara /  Pink Perch  - (𝗚𝗿𝗼𝘀𝘀: 𝟳𝟱𝟬𝗴, 𝗡𝗲𝘁: 𝟱𝟬𝟬𝗴)",true,"<h2><span style=""font-weight: 700"">Premium Sankara </span>(Pink Perch / Kilimeen / சங்கரா மீன்)</h2><h3><span style=""font-weight: 700"">Product Overview</span></h3><ul><li><p><span style=""font-weight: 700"">Net Weight:</span>&nbsp;500g</p></li><li><p><span style=""font-weight: 700"">Gross Weight :</span>&nbsp;750g</p></li><li><p><span style=""font-weight: 700"">Protein: </span>20g – 22g</p></li><li><p><span style=""font-weight: 700"">Pieces:</span>&nbsp;Approximately 3 – 6 whole fish</p></li><li><p><span style=""font-weight: 700"">Preparation:</span>&nbsp;Sourced fresh, expertly descaled, and cleaned. Available as <span style=""font-weight: 700"">Whole Fish with Fry Cuts</span>&nbsp;(perfect for deep frying) or as <span style=""font-weight: 700"">Cleaned Fillets</span>.</p></li><li><p><span style=""font-weight: 700"">Texture:</span>&nbsp;Lean, firm, and moist with a subtle, sweet nuttiness.</p></li></ul><p>With its iconic vibrant color and sweet, delicate flavor, our Sankara is a prized catch from the Bay of Bengal. This white-fleshed fish is celebrated for its versatility, offering a moist, flaky texture that makes it the centerpiece of any premium seafood meal.</p><h3><span style=""font-weight: 700"">Nutritional Profile (Per 100g)</span></h3><p>Red Snapper is a low-calorie, high-nutrient choice perfect for a balanced diet.</p><table><tr><td><p><span style=""font-weight: 700"">Nutrient</span></p></td><td><p><span style=""font-weight: 700"">Amount</span></p></td></tr><tr><td><p><span style=""font-weight: 700"">Calories</span></p></td><td><p>100 - 110 kcal</p></td></tr><tr><td><p><span style=""font-weight: 700"">Protein</span></p></td><td><p>20g - 22g</p></td></tr><tr><td><p><span style=""font-weight: 700"">Total Fat</span></p></td><td><p>1.5g</p></td></tr><tr><td><p><span style=""font-weight: 700"">Omega-3 Fatty Acids</span></p></td><td><p>Moderate to High</p></td></tr><tr><td><p><span style=""font-weight: 700"">Potassium</span></p></td><td><p>420 mg</p></td></tr><tr><td><p><span style=""font-weight: 700"">Selenium</span></p></td><td><p>65% of Daily Value</p></td></tr></table><h3><span style=""font-weight: 700"">Key Benefits</span></h3><ul><li><p><span style=""font-weight: 700"">Low Calorie, High Protein:</span>&nbsp;An ideal choice for weight management without sacrificing essential amino acids.</p></li><li><p><span style=""font-weight: 700"">Metabolic Support:</span>&nbsp;Exceptionally high in Selenium, which supports thyroid function and protects cells from free radical damage.</p></li><li><p><span style=""font-weight: 700"">Blood Pressure Control:</span>&nbsp;The high Potassium content helps regulate blood pressure and supports heart health.</p></li><li><p><span style=""font-weight: 700"">Rich in Vitamin A:</span>&nbsp;Supports healthy vision, skin, and a robust immune system.</p></li></ul><blockquote><p><span style=""font-weight: 700"">Chef's Tip:</span>&nbsp;Red Snapper is best enjoyed when its natural sweetness is highlighted. Try a <span style=""font-weight: 700"">Lemon-Butter-Garlic rub</span>&nbsp;for baking, or a traditional <span style=""font-weight: 700"">South Indian Masala</span>&nbsp;for a crispy pan fry!</p></blockquote>",lean-low-calorie;deep-fry-favorites;fishes,fishes,,,,,,,,,,,,,,,,,,,Cutting style:,TEXT_CHOICES,Curry cut;Whole;Whole Headless,Size,TEXT_CHOICES,Small;Medium,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,VARIANT,,true,,,,,,,,425,699,,OUT_OF_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Curry cut,Size,TEXT_CHOICES,Small,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,VARIANT,,true,,,,,,,,475,699,,OUT_OF_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Curry cut,Size,TEXT_CHOICES,Medium,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,VARIANT,,true,,,,,,,,425,699,,OUT_OF_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Whole,Size,TEXT_CHOICES,Small,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,VARIANT,,true,,,,,,,,475,699,,OUT_OF_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Whole,Size,TEXT_CHOICES,Medium,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,VARIANT,,true,,,,,,,,500,799,,OUT_OF_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Whole Headless,Size,TEXT_CHOICES,Small,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,VARIANT,,true,,,,,,,,550,799,,OUT_OF_STOCK,false,,,,,,,,,,Cutting style:,TEXT_CHOICES,Whole Headless,Size,TEXT_CHOICES,Medium,Weight,TEXT_CHOICES,0.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,MEDIA,,,,,,ebf235_397648c8bd954d8a873b1b70218b3802~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,MEDIA,,,,,,ebf235_e6204a08a6474c9e9b3aa9a337568ddd~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_9e17c79e-0d00-46a9-b80f-70a8edfd373a,MEDIA,,,,,,ebf235_85883e737296420bb150de29e9b248b2~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
